country_name,time,value
Malaysia,Jan-17,0
Thailand,Jan-17,0
Singapura,Jan-17,0
Vietnam,Jan-17,0
Philipina,Jan-17,0
ASEAN Lainnya,Jan-17,0
Jepang,Jan-17,0
Korea Selatan,Jan-17,0
Tiongkok,Jan-17,2.84
Hongkong,Jan-17,0
Taiwan,Jan-17,0
Uni Emirat Arab,Jan-17,0
Asia Lainnya,Jan-17,0
Australia,Jan-17,0
Meksiko,Jan-17,0
Belanda,Jan-17,0
Amerika Serikat,Jan-17,0
Italia,Jan-17,0
Jerman,Jan-17,0
Perancis,Jan-17,0
Finlandia,Jan-17,0
Lainnya,Jan-17,0
Malaysia,Feb-17,0
Thailand,Feb-17,0
Singapura,Feb-17,0
Vietnam,Feb-17,0
Philipina,Feb-17,0
ASEAN Lainnya,Feb-17,0
Jepang,Feb-17,0
Korea Selatan,Feb-17,0
Tiongkok,Feb-17,0
Hongkong,Feb-17,0
Taiwan,Feb-17,0
Uni Emirat Arab,Feb-17,0
Asia Lainnya,Feb-17,0
Australia,Feb-17,0
Meksiko,Feb-17,0
Belanda,Feb-17,0
Amerika Serikat,Feb-17,0
Italia,Feb-17,0
Jerman,Feb-17,0
Perancis,Feb-17,0
Finlandia,Feb-17,0
Lainnya,Feb-17,0
Malaysia,Mar-17,0
Thailand,Mar-17,0
Singapura,Mar-17,0
Vietnam,Mar-17,0
Philipina,Mar-17,0
ASEAN Lainnya,Mar-17,0
Jepang,Mar-17,0
Korea Selatan,Mar-17,0
Tiongkok,Mar-17,0
Hongkong,Mar-17,0
Taiwan,Mar-17,0
Uni Emirat Arab,Mar-17,0
Asia Lainnya,Mar-17,0
Australia,Mar-17,0
Meksiko,Mar-17,0
Belanda,Mar-17,0
Amerika Serikat,Mar-17,0
Italia,Mar-17,0
Jerman,Mar-17,0
Perancis,Mar-17,0
Finlandia,Mar-17,0
Lainnya,Mar-17,0
Malaysia,Apr-17,0
Thailand,Apr-17,0
Singapura,Apr-17,0
Vietnam,Apr-17,0
Philipina,Apr-17,0
ASEAN Lainnya,Apr-17,0
Jepang,Apr-17,0
Korea Selatan,Apr-17,0
Tiongkok,Apr-17,0
Hongkong,Apr-17,0
Taiwan,Apr-17,0
Uni Emirat Arab,Apr-17,0
Asia Lainnya,Apr-17,0
Australia,Apr-17,0
Meksiko,Apr-17,0
Belanda,Apr-17,0
Amerika Serikat,Apr-17,0
Italia,Apr-17,0
Jerman,Apr-17,0
Perancis,Apr-17,0
Finlandia,Apr-17,0
Lainnya,Apr-17,0.07
Malaysia,May-17,0
Thailand,May-17,0
Singapura,May-17,0
Vietnam,May-17,0
Philipina,May-17,0
ASEAN Lainnya,May-17,0
Jepang,May-17,0
Korea Selatan,May-17,0
Tiongkok,May-17,0
Hongkong,May-17,0
Taiwan,May-17,0
Uni Emirat Arab,May-17,0
Asia Lainnya,May-17,0
Australia,May-17,0
Meksiko,May-17,0
Belanda,May-17,0
Amerika Serikat,May-17,0
Italia,May-17,0
Jerman,May-17,0
Perancis,May-17,0
Finlandia,May-17,0
Lainnya,May-17,0
Malaysia,Jun-17,0
Thailand,Jun-17,0
Singapura,Jun-17,0
Vietnam,Jun-17,0
Philipina,Jun-17,0
ASEAN Lainnya,Jun-17,0
Jepang,Jun-17,0
Korea Selatan,Jun-17,0
Tiongkok,Jun-17,0
Hongkong,Jun-17,0
Taiwan,Jun-17,0
Uni Emirat Arab,Jun-17,0
Asia Lainnya,Jun-17,0
Australia,Jun-17,0
Meksiko,Jun-17,0
Belanda,Jun-17,0
Amerika Serikat,Jun-17,0
Italia,Jun-17,0
Jerman,Jun-17,0
Perancis,Jun-17,0
Finlandia,Jun-17,0
Lainnya,Jun-17,0
Malaysia,Jul-17,0
Thailand,Jul-17,0
Singapura,Jul-17,0.0002
Vietnam,Jul-17,0
Philipina,Jul-17,0
ASEAN Lainnya,Jul-17,0
Jepang,Jul-17,0
Korea Selatan,Jul-17,0
Tiongkok,Jul-17,0.0001
Hongkong,Jul-17,0
Taiwan,Jul-17,0
Uni Emirat Arab,Jul-17,0
Asia Lainnya,Jul-17,0
Australia,Jul-17,0.0002
Meksiko,Jul-17,0
Belanda,Jul-17,0
Amerika Serikat,Jul-17,0
Italia,Jul-17,0
Jerman,Jul-17,0
Perancis,Jul-17,0
Finlandia,Jul-17,0
Lainnya,Jul-17,0.0012
Malaysia,Aug-17,0
Thailand,Aug-17,0
Singapura,Aug-17,0
Vietnam,Aug-17,0
Philipina,Aug-17,0
ASEAN Lainnya,Aug-17,0
Jepang,Aug-17,0.001
Korea Selatan,Aug-17,0
Tiongkok,Aug-17,0
Hongkong,Aug-17,0.001
Taiwan,Aug-17,0
Uni Emirat Arab,Aug-17,0
Asia Lainnya,Aug-17,0
Australia,Aug-17,0
Meksiko,Aug-17,0
Belanda,Aug-17,0
Amerika Serikat,Aug-17,0
Italia,Aug-17,0
Jerman,Aug-17,0
Perancis,Aug-17,0
Finlandia,Aug-17,0
Lainnya,Aug-17,0.0002
Malaysia,Sep-17,0
Thailand,Sep-17,0
Singapura,Sep-17,0.0001
Vietnam,Sep-17,0
Philipina,Sep-17,0
ASEAN Lainnya,Sep-17,0
Jepang,Sep-17,0
Korea Selatan,Sep-17,0
Tiongkok,Sep-17,0.0004
Hongkong,Sep-17,0
Taiwan,Sep-17,0
Uni Emirat Arab,Sep-17,0
Asia Lainnya,Sep-17,0
Australia,Sep-17,0
Meksiko,Sep-17,0
Belanda,Sep-17,0
Amerika Serikat,Sep-17,0
Italia,Sep-17,0
Jerman,Sep-17,0
Perancis,Sep-17,0
Finlandia,Sep-17,0
Lainnya,Sep-17,0.0006
Malaysia,Oct-17,0
Thailand,Oct-17,0
Singapura,Oct-17,0.0001
Vietnam,Oct-17,0
Philipina,Oct-17,0
ASEAN Lainnya,Oct-17,0
Jepang,Oct-17,0
Korea Selatan,Oct-17,0
Tiongkok,Oct-17,0.0005
Hongkong,Oct-17,0
Taiwan,Oct-17,0
Uni Emirat Arab,Oct-17,0
Asia Lainnya,Oct-17,0
Australia,Oct-17,0
Meksiko,Oct-17,0
Belanda,Oct-17,0
Amerika Serikat,Oct-17,0
Italia,Oct-17,0
Jerman,Oct-17,0
Perancis,Oct-17,0
Finlandia,Oct-17,0
Lainnya,Oct-17,0.001
Malaysia,Nov-17,0
Thailand,Nov-17,0
Singapura,Nov-17,1.25
Vietnam,Nov-17,0
Philipina,Nov-17,0
ASEAN Lainnya,Nov-17,0
Jepang,Nov-17,0
Korea Selatan,Nov-17,0
Tiongkok,Nov-17,0
Hongkong,Nov-17,0
Taiwan,Nov-17,0
Uni Emirat Arab,Nov-17,0
Asia Lainnya,Nov-17,0
Australia,Nov-17,0
Meksiko,Nov-17,0
Belanda,Nov-17,0
Amerika Serikat,Nov-17,0
Italia,Nov-17,0
Jerman,Nov-17,0
Perancis,Nov-17,0
Finlandia,Nov-17,0
Lainnya,Nov-17,0
Malaysia,Dec-17,0.01
Thailand,Dec-17,0.002
Singapura,Dec-17,3.04
Vietnam,Dec-17,0
Philipina,Dec-17,0.0003
ASEAN Lainnya,Dec-17,0
Jepang,Dec-17,0.001
Korea Selatan,Dec-17,0.26
Tiongkok,Dec-17,0.07
Hongkong,Dec-17,0
Taiwan,Dec-17,0.004
Uni Emirat Arab,Dec-17,0
Asia Lainnya,Dec-17,0
Australia,Dec-17,0.01
Meksiko,Dec-17,0.01
Belanda,Dec-17,0
Amerika Serikat,Dec-17,60.96
Italia,Dec-17,0
Jerman,Dec-17,0
Perancis,Dec-17,0
Finlandia,Dec-17,0
Lainnya,Dec-17,0
Malaysia,Jan-18,0
Thailand,Jan-18,0
Singapura,Jan-18,0.96
Vietnam,Jan-18,0
Philipina,Jan-18,0
ASEAN Lainnya,Jan-18,0
Jepang,Jan-18,0
Korea Selatan,Jan-18,0
Tiongkok,Jan-18,0
Hongkong,Jan-18,0
Taiwan,Jan-18,0
Uni Emirat Arab,Jan-18,0
Asia Lainnya,Jan-18,0
Australia,Jan-18,0
Meksiko,Jan-18,0
Belanda,Jan-18,0
Amerika Serikat,Jan-18,0
Italia,Jan-18,0
Jerman,Jan-18,0
Perancis,Jan-18,0
Finlandia,Jan-18,0
Lainnya,Jan-18,0
Malaysia,Feb-18,0
Thailand,Feb-18,0
Singapura,Feb-18,0.001
Vietnam,Feb-18,0
Philipina,Feb-18,0
ASEAN Lainnya,Feb-18,0
