tanggal,harga,,,
1/4/2016,36000,,,
1/5/2016,35675,,,
1/6/2016,37425,,,
1/7/2016,36000,,,
1/8/2016,36175,,,
1/11/2016,35325,,,
1/12/2016,36100,,,
1/13/2016,36100,,,
1/14/2016,35725,,,
1/15/2016,36000,,,
1/18/2016,35650,,,
1/19/2016,35900,,,
1/20/2016,35600,,,
1/21/2016,35800,,,
1/22/2016,35600,,,
1/25/2016,35625,,,
1/26/2016,35975,,,
1/27/2016,37300,,stdeviasi,603.0228131
1/28/2016,37250,,rata-rata,36096.25
1/29/2016,36700,,CV,0.016705968
2/1/2016,36800,,,
2/2/2016,37475,,,
2/3/2016,38625,,,
2/4/2016,39950,,,
2/5/2016,40600,,,
2/9/2016,40850,,,
2/10/2016,40850,,,
2/11/2016,41550,,,
2/12/2016,41100,,,
2/15/2016,41575,,,
2/16/2016,41000,,,
2/17/2016,41350,,,
2/18/2016,41675,,,
2/19/2016,42750,,,
2/22/2016,43375,,,
2/23/2016,42450,,,
2/24/2016,42000,,,
2/25/2016,42725,,stdeviasi,1953.924442
2/26/2016,43900,,rata-rata,41256.25
2/29/2016,44525,,CV,0.047360689
3/1/2016,45400,,,
3/2/2016,47800,,,
3/3/2016,46425,,,
3/4/2016,45200,,,
3/7/2016,44150,,,
3/8/2016,43500,,,
3/10/2016,42750,,,
3/11/2016,43000,,,
3/14/2016,44150,,,
3/15/2016,44050,,,
3/16/2016,44050,,,
3/17/2016,43875,,,
3/18/2016,44450,,,
3/21/2016,44000,,,
3/22/2016,43525,,,
3/23/2016,43000,,,
3/24/2016,42525,,,
3/28/2016,42000,,,
3/29/2016,42975,,stdeviasi,1367.149668
3/30/2016,42975,,rata-rata,43939.28571
3/31/2016,42925,,CV,0.031114517
4/1/2016,43175,,,
4/4/2016,43500,,,
4/5/2016,43325,,,
4/6/2016,43500,,,
4/7/2016,43150,,,
4/8/2016,43000,,,
4/11/2016,42475,,,
4/12/2016,43950,,,
4/13/2016,43350,,,
4/14/2016,43000,,,
4/15/2016,43800,,,
4/18/2016,44400,,,
4/19/2016,45475,,,
4/20/2016,45300,,,
4/21/2016,46500,,,
4/22/2016,47000,,,
4/25/2016,44775,,,
4/26/2016,43900,,,
4/27/2016,44150,,stdeviasi,1211.651028
4/28/2016,43475,,rata-rata,43989.28571
4/29/2016,42575,,CV,0.027544231
5/2/2016,43250,,,
5/3/2016,43775,,,
5/4/2016,45150,,,
5/9/2016,44500,,,
5/10/2016,43925,,,
5/11/2016,44300,,,
5/12/2016,44300,,,
5/13/2016,44400,,,
5/16/2016,43050,,,
5/17/2016,43075,,,
5/18/2016,42950,,,
5/19/2016,42800,,,
5/20/2016,42550,,,
5/23/2016,42975,,,
5/24/2016,42500,,,
5/25/2016,43700,,,
5/26/2016,43675,,,
5/27/2016,44000,,stdeviasi,720.8091214
5/30/2016,43725,,rata-rata,43585
5/31/2016,43100,,CV,0.016538009
6/1/2016,43550,,,
6/2/2016,43250,,,
6/3/2016,43150,,,
6/6/2016,43200,,,
6/7/2016,43650,,,
6/8/2016,43800,,,
6/9/2016,43250,,,
6/10/2016,43000,,,
6/13/2016,43000,,,
6/14/2016,43500,,,
6/15/2016,43800,,,
6/16/2016,43575,,,
6/17/2016,43575,,,
6/20/2016,43600,,,
6/21/2016,43800,,,
6/22/2016,43400,,,
6/23/2016,43400,,,
6/24/2016,43500,,,
6/27/2016,43075,,,
6/28/2016,43600,,stdeviasi,532.5498168
6/29/2016,45000,,rata-rata,43579.54545
6/30/2016,45075,,CV,0.012220178
7/1/2016,43800,,,
7/11/2016,45000,,,
7/12/2016,44325,,,
7/13/2016,44950,,,
7/14/2016,44300,,,
7/15/2016,44500,,,
7/18/2016,43900,,,
7/19/2016,44150,,,
7/20/2016,44475,,,
7/21/2016,44400,,,
7/22/2016,44025,,,
7/25/2016,44700,,,
7/26/2016,44950,,,
