time,value,(Ribu Ton),
Jan-14,1.15,,
Feb-14,0.18,,
Mar-14,0,,
Apr-14,0.58,,
May-14,0.07,,
Jun-14,0.42,,
Jul-14,0.06,,
Aug-14,0,,
Sep-14,2.05,,
Oct-14,0,,
Nov-14,0,,
Dec-14,1.65,Tahunan,6.16
Jan-15,3.56,,
Feb-15,4.84,,
Mar-15,0,,
Apr-15,0,,
May-15,0.15,,
Jun-15,0,,
Jul-15,1.62,,
Aug-15,0,,
Sep-15,0,,
Oct-15,0.08,,
Nov-15,2,,
Dec-15,0,Tahunan,12.36
Jan-16,0.7,,
Feb-16,43.42,,
Mar-16,0,,
Apr-16,0.01,,
May-16,1.75,,
Jun-16,0,,
Jul-16,5.68,,
Aug-16,0.36,,
Sep-16,0,,
Oct-16,2.56,,
Nov-16,0.3,,
Dec-16,0.11,Tahunan,54.88
Jan-17,0.48,,
Feb-17,0.48,,
Mar-17,0,,
Apr-17,0.01,,
May-17,0,,
Jun-17,0,,
Jul-17,0,,
Aug-17,0,,
Sep-17,0,,
Oct-17,0,,
Nov-17,0.36,,
Dec-17,11.08,Tahunan,11.93
Jan-18,0.5,,
Feb-18,0,,
Mar-18,0.74,,
Apr-18,22.75,,
May-18,80.87,,
Jun-18,0,,
Jul-18,1.44,,
Aug-18,2.01,,
Sep-18,55,,
Oct-18,0.03,,
Nov-18,54.39,,
Dec-18,0.66,Tahunan,218.39
Jan-19,1.93,,
Feb-19,0.72,,
Mar-19,3.35,,
Apr-19,62.16,,
May-19,13.2,,
Jun-19,0.0003,,
Jul-19,2.57,,
Aug-19,85.8614,,
Sep-19,31.5674,,
Oct-19,35.2612,,
Nov-19,92.6398,,
Dec-19,25.7768,355.04,
Jan-20,1.23,,
Feb-20,0.82,,
Mar-20,56.85,,
Apr-20,0.16,,
May-20,0.0021,,
Jun-20,54.27,,
Jul-20,0.0031,,
Aug-20,1.51,,
Sep-20,55.48,,
Oct-20,0.003,,
Nov-20,0.33,,
Dec-20,0.001,170.66,
Jan-21,58.47,,
Feb-21,0.0005,,
Mar-21,0.85,,
Apr-21,0.0045,,
May-21,56.29,,
Jun-21,56.7,,
Jul-21,0,,
Aug-21,0.00005,172.3,
,,,
,,,
,,,
,,,
