time,value,(Juta US$),
1/1/2014,1.33,,
2/1/2014,1.51,,
3/1/2014,0.05,,
4/1/2014,0.69,,
5/1/2014,0.07,,
6/1/2014,0.37,,
7/1/2014,1.55,,
8/1/2014,0,,
9/1/2014,18.9,,
10/1/2014,0.16,,
11/1/2014,0.06,,
12/1/2014,2.86,Tahunan,27.55
1/1/2015,21.98,,
2/1/2015,8.88,,
3/1/2015,0,,
4/1/2015,0,,
5/1/2015,0.45,,
6/1/2015,0,,
7/1/2015,2.68,,
8/1/2015,0,,
9/1/2015,0,,
10/1/2015,0.68,,
11/1/2015,0.98,,
12/1/2015,0,Tahunan,37.1
1/1/2016,0.7,,
2/1/2016,43.42,,
3/1/2016,0,,
4/1/2016,3.14,,
5/1/2016,0.47,,
6/1/2016,0,,
7/1/2016,14.35,,
8/1/2016,0.72,,
9/1/2016,0,,
10/1/2016,1.4,,
11/1/2016,0.08,,
12/1/2016,0.06,Tahunan,64.37
1/1/2017,2.84,,
2/1/2017,0,,
3/1/2017,0,,
4/1/2017,0.07,,
5/1/2017,0,,
6/1/2017,0,,
7/1/2017,0,,
8/1/2017,0,,
9/1/2017,0,,
10/1/2017,0,,
11/1/2017,1.25,,
12/1/2017,64.37,Tahunan,68.53
1/1/2018,0.96,,
2/1/2018,0,,
3/1/2018,1.45,,
4/1/2018,2.06,,
5/1/2018,7.81,,
6/1/2018,0,,
7/1/2018,0.46,,
8/1/2018,2.39,,
9/1/2018,4.75,,
10/1/2018,0.51,,
11/1/2018,4.53,,
12/1/2018,32.45,Tahunan,57.38
1/1/2019,5.24,,
2/1/2019,0.06,,
3/1/2019,38.04,,
4/1/2019,21.01,,
5/1/2019,22.86,,
6/1/2019,0.04,,
7/1/2019,118.31,,
8/1/2019,78.16,,
9/1/2019,10.53,,
10/1/2019,36.17,,
11/1/2019,10.5,,
12/1/2019,25.39,Tahunan,374.3
1/1/2020,10.03,,
2/1/2020,33.53,,
3/1/2020,2.72,,
4/1/2020,3,,
5/1/2020,0.35,,
6/1/2020,3.49,,
7/1/2020,0.48,,
8/1/2020,3.27,,
9/1/2020,5.89,,
10/1/2020,0.52,,
11/1/2020,3.14,,
12/1/2020,0.11,66.53,
1/1/2021,4.87,,
2/1/2021,0.22,,
3/1/2021,1.56,,
4/1/2021,0.46,,
5/1/2021,4.44,,
6/1/2021,2.92,,
7/1/2021,0,,
8/1/2021,0.03,14.49,
